Alias,ID,Heading,Expenditure,Language,PoliticalCategory,Year,Amount,EpNote
1 0 3 1,NIV-47483218314141915_47483218314322850@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10DE2,Invalidity pensions,exp,en,5.2.11,2013,395 00
1 0 3 1,NIV-47483218314141915_47483218314322850@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10DE2,Invalidity pensions,exp,en,5.2.11,2012,333 370.7
1 0 3 1,NIV-47483218314141915_47483218314322850@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10DE2,Invalidity pensions,exp,en,5.2.11,2012,333 370.72,AM Rapp / Below D
1 0 3 2,NIV-47483218314141915_47483218314322851@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E0B,Survivors’ pensions,exp,en,5.2.11,2014,2 810 54
1 0 3 2,NIV-47483218314141915_47483218314322851@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E0B,Survivors’ pensions,exp,en,5.2.11,2013,2 820 00
1 0 3 2,NIV-47483218314141915_47483218314322851@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E0B,Survivors’ pensions,exp,en,5.2.11,2012,2 759 882.0
1 0 3 2,NIV-47483218314141915_47483218314322851@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E0B,Survivors’ pensions,exp,en,5.2.11,2012,2 759 882.02,AM Rapp / Below D
1 0 3 3,NIV-47483218314141915_47483218314322852@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E34,Optional pension scheme for Members,exp,en,5.2.11,2014,32 00
1 0 3 3,NIV-47483218314141915_47483218314322852@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E34,Optional pension scheme for Members,exp,en,5.2.11,2013,31 00
1 0 3 3,NIV-47483218314141915_47483218314322852@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E34,Optional pension scheme for Members,exp,en,5.2.11,2012,35 653.7
1 0 5,NIV-47483218314141915_47483218314322853@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E5D,Language and data-processing courses,exp,en,5.2.11,2014,500 00
1 0 5,NIV-47483218314141915_47483218314322853@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E5D,Language and data-processing courses,exp,en,5.2.11,2013,500 00
1 0 5,NIV-47483218314141915_47483218314322853@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E5D,Language and data-processing courses,exp,en,5.2.11,2012,678 941.1
1 0 9,NIV-47483218314141915_47483218314322854@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E9C,Provisional appropriation,exp,en,5.2.11,2014,p.m
1 0 9,NIV-47483218314141915_47483218314322854@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E9C,Provisional appropriation,exp,en,5.2.11,2013,p.m
1 0 9,NIV-47483218314141915_47483218314322854@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10E9C,Provisional appropriation,exp,en,5.2.11,2012,0.
