Alias,ID,Heading,Expenditure,Language,PoliticalCategory,Year,Amount,EpNote
XX 01 01 01 01,314323344@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15759,Remuneration and allowances,exp,,5.2.3X,2014,1 815 674 00
XX 01 01 01 01,314323344@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15759,Remuneration and allowances,exp,,5.2.3X,2013,1 832 209 00
XX 01 01 01 01,314323344@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15759,Remuneration and allowances,exp,,5.2.3X,2012,1 835 529 116.3
XX 01 01 01 01,314323344@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15759,Remuneration and allowances,exp,,5.2.3X,2012,1 835 529 116.31,Restore DB / Reserve / Info decentr. agencies / EAMR
XX 01 01 01 02,314323345@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1577A,Expenses and allowances related to recruitment. transfers and termination of service,exp,,5.2.3X,2014,14 398 00
XX 01 01 01 02,314323345@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1577A,Expenses and allowances related to recruitment. transfers and termination of service,exp,,5.2.3X,2013,14 873 00
XX 01 01 01 02,314323345@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1577A,Expenses and allowances related to recruitment. transfers and termination of service,exp,,5.2.3X,2012,13 301 985.8
XX 01 01 01 02,314323345@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1577A,Expenses and allowances related to recruitment. transfers and termination of service,exp,,5.2.3X,2012,13 301 985.81,AM Rapp - Restore D
XX 01 01 01 03,314323346@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15793,Adjustments to remuneration,exp,,5.2.3X,2014,p.m
XX 01 01 01 03,314323346@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15793,Adjustments to remuneration,exp,,5.2.3X,2013,15 472 00
XX 01 01 01 03,314323346@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15793,Adjustments to remuneration,exp,,5.2.3X,2012,0.
XX 01 01 02 01,314323348@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N157F1,Remuneration and allowances,exp,,5.2.3X,2014,107 033 00
XX 01 01 02 01,314323348@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N157F1,Remuneration and allowances,exp,,5.2.3X,2013,110 428 00
XX 01 01 02 01,314323348@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N157F1,Remuneration and allowances,exp,,5.2.3X,2012,103 840 600.0
XX 01 01 02 01,314323348@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N157F1,Remuneration and allowances,exp,,5.2.3X,2012,103 840 600.00,AM Rapp - Restore D
XX 01 01 02 02,314323349@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1580D,Expenses and allowances related to recruitment. transfers and termination of service,exp,,5.2.3X,2014,7 506 00
XX 01 01 02 02,314323349@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1580D,Expenses and allowances related to recruitment. transfers and termination of service,exp,,5.2.3X,2013,7 462 00
XX 01 01 02 02,314323349@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1580D,Expenses and allowances related to recruitment. transfers and termination of service,exp,,5.2.3X,2012,6 764 000.0
XX 01 01 02 02,314323349@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1580D,Expenses and allowances related to recruitment. transfers and termination of service,exp,,5.2.3X,2012,6 764 000.00,AM Rapp - Restore D
XX 01 01 02 03,314323350@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15829,Appropriations to cover any adjustments to remuneration,exp,,5.2.3X,2014,p.m
XX 01 01 02 03,314323350@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15829,Appropriations to cover any adjustments to remuneration,exp,,5.2.3X,2013,871 00
XX 01 01 02 03,314323350@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15829,Appropriations to cover any adjustments to remuneration,exp,,5.2.3X,2012,0.
XX 01 02 01 01,314323353@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15B96,Contract staff,exp,,5.2.3X,2014,62 598 34
XX 01 02 01 01,314323353@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15B96,Contract staff,exp,,5.2.3X,2013,66 373 48
XX 01 02 01 01,314323353@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15B96,Contract staff,exp,,5.2.3X,2012,63 225 943.0
XX 01 02 01 01,314323353@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15B96,Contract staff,exp,,5.2.3X,2012,63 225 943.03,AM Rapp - Restore D
XX 01 02 01 02,314323354@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15BB3,Agency staff and technical and administrative assistance in support of different activities,exp,,5.2.3X,2014,23 545 00
XX 01 02 01 02,314323354@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15BB3,Agency staff and technical and administrative assistance in support of different activities,exp,,5.2.3X,2013,23 545 00
XX 01 02 01 02,314323354@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15BB3,Agency staff and technical and administrative assistance in support of different activities,exp,,5.2.3X,2012,31 832 449.4
XX 01 02 01 03,314323355@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15BD2,National civil servants temporarily assigned to the institution,exp,en,5.2.3X,2014,38 076 00
XX 01 02 01 03,314323355@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15BD2,National civil servants temporarily assigned to the institution,exp,en,5.2.3X,2013,39 727 00
XX 01 02 01 03,314323355@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15BD2,National civil servants temporarily assigned to the institution,exp,en,5.2.3X,2012,35 877 954.2
XX 01 02 01 03,314323355@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15BD2,National civil servants temporarily assigned to the institution,exp,en,5.2.3X,2012,35 877 954.23,AM Rapp - Restore D
XX 01 02 02 01,314323357@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15C3B,Remuneration of other staff,exp,,5.2.3X,2014,8 794 00
XX 01 02 02 01,314323357@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15C3B,Remuneration of other staff,exp,,5.2.3X,2013,7 619 00
XX 01 02 02 01,314323357@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15C3B,Remuneration of other staff,exp,,5.2.3X,2012,6 564 000.0
XX 01 02 02 01,314323357@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15C3B,Remuneration of other staff,exp,,5.2.3X,2012,6 564 000.00,AM Rapp - Restore D
XX 01 02 02 02,314323358@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15C57,Training of junior experts and seconded national experts,exp,en,5.2.3X,2014,1 792 00
XX 01 02 02 02,314323358@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15C57,Training of junior experts and seconded national experts,exp,en,5.2.3X,2013,2 300 00
XX 01 02 02 02,314323358@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15C57,Training of junior experts and seconded national experts,exp,en,5.2.3X,2012,3 500 000.0
XX 01 02 02 03,314323359@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15C74,Expenses of other staff and payment for other services,exp,en,5.2.3X,2014,337 00
XX 01 02 02 03,314323359@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15C74,Expenses of other staff and payment for other services,exp,en,5.2.3X,2013,256 00
XX 01 02 02 03,314323359@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15C74,Expenses of other staff and payment for other services,exp,en,5.2.3X,2012,256 000.0
XX 01 02 11 01,314323361@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D14,Mission and representation expenses,exp,en,5.2.3X,2014,56 654 54
XX 01 02 11 01,314323361@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D14,Mission and representation expenses,exp,en,5.2.3X,2013,56 391 00
XX 01 02 11 01,314323361@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D14,Mission and representation expenses,exp,en,5.2.3X,2012,59 933 898.3
XX 01 02 11 02,314323362@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D3C,Conferences. meetings and expert groups’ expenses,exp,en,5.2.3X,2014,26 017 65
XX 01 02 11 02,314323362@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D3C,Conferences. meetings and expert groups’ expenses,exp,en,5.2.3X,2013,27 008 00
XX 01 02 11 02,314323362@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D3C,Conferences. meetings and expert groups’ expenses,exp,en,5.2.3X,2012,24 752 014.3
XX 01 02 11 03,314323363@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D63,Meetings of committees,exp,,5.2.3X,2014,12 215 65
XX 01 02 11 03,314323363@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D63,Meetings of committees,exp,,5.2.3X,2013,12 863 00
XX 01 02 11 03,314323363@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D63,Meetings of committees,exp,,5.2.3X,2012,11 677 956.0
XX 01 02 11 04,314323364@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D8A,Studies and consultations,exp,,5.2.3X,2014,6 394 14
XX 01 02 11 04,314323364@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D8A,Studies and consultations,exp,,5.2.3X,2013,6 400 00
XX 01 02 11 04,314323364@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15D8A,Studies and consultations,exp,,5.2.3X,2012,6 555 204.7
XX 01 02 11 05,314323365@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15DAE,Information and management systems,exp,en,5.2.3X,2014,26 974 67
XX 01 02 11 05,314323365@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15DAE,Information and management systems,exp,en,5.2.3X,2013,26 985 00
XX 01 02 11 05,314323365@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15DAE,Information and management systems,exp,en,5.2.3X,2012,33 301 767.7
XX 01 02 11 06,314323366@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15DD2,Further training and management training,exp,,5.2.3X,2014,12 981 98
XX 01 02 11 06,314323366@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N15DD2,Further training and management training,exp,,5.2.3X,2013,13 500 00
